name,team,r1
Thuram,Inter,STARTER
Martinez L.,Inter,STARTER
Dimarco,Inter,STARTER
Zielinski,Inter,STARTER
Calhanoglu,Inter,STARTER
Barella,Inter,STARTER
Diouf,Inter,STARTER
Bastoni,Inter,STARTER
Stones,Inter,STARTER
Akanji,Inter,STARTER
Martinez Jo.,Inter,STARTER
Varela G.,Monza,STARTER
Cutrone,Monza,STARTER
Colpani,Monza,STARTER
Mangas,Monza,STARTER
Akinsanmiro,Monza,STARTER
Colombo L.,Monza,STARTER
Birindelli,Monza,STARTER
Carboni A.,Monza,STARTER
Delli Carri,Monza,STARTER
Kouadio,Monza,STARTER
Thiam,Monza,STARTER
Davis K.,Udinese,STARTER
Zaniolo,Udinese,STARTER
Ekkelenkamp,Udinese,STARTER
Kamara H.,Udinese,STARTER
Karlstrom,Udinese,STARTER
Piotrowski,Udinese,STARTER
Vojvoda,Udinese,STARTER
Ebosse,Udinese,STARTER
Solet,Udinese,STARTER
Bertola,Udinese,STARTER
Okoye,Udinese,STARTER
Douvikas,Como,STARTER
Baturina,Como,STARTER
Paz N.,Como,STARTER
Diao,Como,STARTER
Da Cunha,Como,STARTER
Perrone,Como,STARTER
Kaiki,Como,STARTER
Ramon,Como,STARTER
Chalobah T.,Como,STARTER
Smolcic I.,Como,STARTER
Butez,Como,STARTER
Colombo,Genoa,STARTER
Vitinha O.,Genoa,STARTER
Baldanzi,Genoa,STARTER
Ellertsson,Genoa,STARTER
Amorim,Genoa,STARTER
Frendrup,Genoa,STARTER
Norton-Cuffy,Genoa,STARTER
Vasquez,Genoa,STARTER
Ostigard,Genoa,STARTER
Marcandalli,Genoa,STARTER
Bijlow,Genoa,STARTER
Santos A.,Napoli,STARTER
Hojlund,Napoli,STARTER
Politano,Napoli,STARTER
McTominay,Napoli,STARTER
Lobotka,Napoli,STARTER
Zambo Anguissa,Napoli,STARTER
Spinazzola,Napoli,STARTER
Marin R.,Napoli,STARTER
Rrahmani,Napoli,STARTER
Di Lorenzo,Napoli,STARTER
Meret,Napoli,STARTER
Tourè E.,Parma,STARTER
Romero D.,Parma,STARTER
Almqvist,Parma,STARTER
Bernabè,Parma,STARTER
Keita M.,Parma,STARTER
Sorensen O.,Parma,STARTER
Valeri,Parma,STARTER
Valenti,Parma,STARTER
Circati,Parma,STARTER
Delprato,Parma,STARTER
Corvi,Parma,STARTER
Kevin Carlos,Cagliari,STARTER
Maldini,Cagliari,STARTER
Fazzini,Cagliari,STARTER
Romano,Cagliari,STARTER
Winks,Cagliari,STARTER
Adopo,Cagliari,STARTER
Obert,Cagliari,STARTER
Rodriguez Ju.,Cagliari,STARTER
Mina,Cagliari,STARTER
Zè Pedro,Cagliari,STARTER
Caprile,Cagliari,STARTER
Schmid,Frosinone,STARTER
Raimondo,Frosinone,STARTER
Ghedjemis,Frosinone,STARTER
Masini,Frosinone,STARTER
Calò,Frosinone,STARTER
Grillitsch,Frosinone,STARTER
Terzic,Frosinone,STARTER
Monterisi,Frosinone,STARTER
Calvani,Frosinone,STARTER
Oyono A.,Frosinone,STARTER
Palmisani,Frosinone,STARTER
Kolo Muani,Juventus,STARTER
Yildiz,Juventus,STARTER
Alajbegovic,Juventus,STARTER
Conceicao,Juventus,STARTER
Locatelli,Juventus,STARTER
