id,r,name,team,price,fvm
9,A,Martinez L.,Inter,35.0,370.0
15,A,Malen,Roma,34.0,365.0
9,D,Dimarco,Inter,32.0,265.0
153,C,Paz N.,Como,30.0,250.0
9,A,Thuram,Inter,29.0,280.0
13,C,McTominay,Napoli,28.0,240.0
13,A,Hojlund,Napoli,28.0,271.0
9,C,Calhanoglu,Inter,27.0,230.0
12,A,Ramos G.,Milan,27.0,232.0
2,C,Orsolini,Bologna,26.0,200.0
10,A,Kolo Muani,Juventus,26.0,225.0
6,A,Kean,Fiorentina,25.0,200.0
12,C,Pulisic,Milan,25.0,180.0
10,A,Yildiz,Juventus,23.0,192.0
12,C,Rabiot,Milan,22.0,128.0
153,A,Douvikas,Como,20.0,157.0
1,A,Scamacca,Atalanta,19.0,131.0
153,C,Baturina,Como,19.0,102.0
19,A,Davis K.,Udinese,19.0,122.0
1,A,Krstovic,Atalanta,18.0,95.0
153,C,Da Cunha,Como,18.0,90.0
12,A,Leao,Milan,18.0,120.0
15,P,Svilar,Roma,18.0,65.0
17,A,Berardi,Sassuolo,18.0,115.0
19,C,Zaniolo,Udinese,18.0,100.0
15,D,Molina N.,Roma,18.0,87.0
1,A,De Ketelaere,Atalanta,17.0,106.0
6,C,Atta,Fiorentina,17.0,87.0
9,P,Martinez Jo.,Inter,17.0,63.0
9,C,Barella,Inter,17.0,80.0
10,C,McKennie,Juventus,17.0,68.0
15,D,Wesley,Roma,17.0,83.0
1,P,Carnesecchi,Atalanta,16.0,52.0
2,A,Dovbyk,Bologna,16.0,73.0
153,P,Butez,Como,16.0,56.0
9,D,Akanji,Inter,16.0,55.0
9,A,Esposito F.P.,Inter,16.0,93.0
11,C,Zaccagni,Lazio,16.0,91.0
10,D,Bremer,Juventus,15.0,50.0
12,P,Maignan,Milan,15.0,50.0
13,C,De Bruyne,Napoli,15.0,98.0
6,A,Pellegrino M.,Fiorentina,15.0,60.0
15,D,Mancini,Roma,15.0,49.0
17,A,Laurientè,Sassuolo,15.0,88.0
18,A,Simeone,Torino,15.0,82.0
9,D,Bastoni,Inter,14.0,44.0
12,D,Pavlovic,Milan,14.0,48.0
13,D,Rrahmani,Napoli,14.0,47.0
13,A,Santos A.,Napoli,14.0,57.0
15,A,Dybala,Roma,14.0,67.0
15,A,Castro S.,Roma,14.0,81.0
18,C,Vlasic,Torino,14.0,80.0
1,A,Raspadori,Atalanta,13.0,62.0
21,A,Esposito Se.,Cagliari,13.0,40.0
6,P,De Gea,Fiorentina,13.0,45.0
6,C,Gudmundsson A.,Fiorentina,13.0,61.0
10,D,Kalulu,Juventus,13.0,46.0
11,C,Taylor K.,Lazio,13.0,64.0
12,A,Nkunku,Milan,13.0,25.0
15,D,N'Dicka,Roma,13.0,44.0
17,A,Pinamonti,Sassuolo,13.0,55.0
19,D,Solet,Udinese,13.0,46.0
21,A,Kevin Carlos,Cagliari,13.0,47.0
1,C,Ederson D.S.,Atalanta,12.0,45.0
