matchday,home,away,date
1,Bologna,Udinese,2024-08-18
1,Cagliari,Roma,2024-08-18
1,Empoli,Monza,2024-08-17
1,Genoa,Inter,2024-08-17
1,Hellas Verona,Napoli,2024-08-18
1,Juventus,Como,2024-08-19
1,Lazio,Venezia,2024-08-18
1,Lecce,Atalanta,2024-08-19
1,Milan,Torino,2024-08-17
1,Parma,Fiorentina,2024-08-17
2,Cagliari,Como,2024-08-26
2,Fiorentina,Venezia,2024-08-25
2,Hellas Verona,Juventus,2024-08-26
2,Inter,Lecce,2024-08-24
2,Monza,Genoa,2024-08-24
2,Napoli,Bologna,2024-08-25
2,Parma,Milan,2024-08-24
2,Roma,Empoli,2024-08-25
2,Torino,Atalanta,2024-08-25
2,Udinese,Lazio,2024-08-24
3,Bologna,Empoli,2024-08-31
3,Fiorentina,Monza,2024-09-01
3,Genoa,Hellas Verona,2024-09-01
3,Inter,Atalanta,2024-08-30
3,Juventus,Roma,2024-09-01
3,Lazio,Milan,2024-08-31
3,Lecce,Cagliari,2024-08-31
3,Napoli,Parma,2024-08-31
3,Udinese,Como,2024-09-01
3,Venezia,Torino,2024-08-30
4,Atalanta,Fiorentina,2024-09-15
4,Cagliari,Napoli,2024-09-15
4,Como,Bologna,2024-09-14
4,Empoli,Juventus,2024-09-14
4,Genoa,Roma,2024-09-15
4,Lazio,Hellas Verona,2024-09-16
4,Milan,Venezia,2024-09-14
4,Monza,Inter,2024-09-15
4,Parma,Udinese,2024-09-16
4,Torino,Lecce,2024-09-15
5,Atalanta,Como,2024-09-24
5,Cagliari,Empoli,2024-09-20
5,Fiorentina,Lazio,2024-09-22
5,Hellas Verona,Torino,2024-09-20
5,Inter,Milan,2024-09-22
5,Juventus,Napoli,2024-09-21
5,Lecce,Parma,2024-09-21
5,Monza,Bologna,2024-09-22
5,Roma,Udinese,2024-09-22
5,Venezia,Genoa,2024-09-21
6,Bologna,Atalanta,2024-09-28
6,Como,Hellas Verona,2024-09-29
6,Empoli,Fiorentina,2024-09-29
6,Genoa,Juventus,2024-09-28
6,Milan,Lecce,2024-09-27
6,Napoli,Monza,2024-09-29
6,Parma,Cagliari,2024-09-30
6,Roma,Venezia,2024-09-29
6,Torino,Lazio,2024-09-29
6,Udinese,Inter,2024-09-28
7,Atalanta,Genoa,2024-10-05
7,Bologna,Parma,2024-10-06
7,Fiorentina,Milan,2024-10-06
7,Hellas Verona,Venezia,2024-10-04
7,Inter,Torino,2024-10-05
7,Juventus,Cagliari,2024-10-06
7,Lazio,Empoli,2024-10-06
7,Monza,Roma,2024-10-06
7,Napoli,Como,2024-10-04
7,Udinese,Lecce,2024-10-05
8,Cagliari,Torino,2024-10-20
8,Como,Parma,2024-10-19
8,Empoli,Napoli,2024-10-20
8,Genoa,Bologna,2024-10-19
8,Hellas Verona,Monza,2024-10-21
8,Juventus,Lazio,2024-10-19
8,Lecce,Fiorentina,2024-10-20
8,Milan,Udinese,2024-10-19
8,Roma,Inter,2024-10-20
8,Venezia,Atalanta,2024-10-20
9,Atalanta,Hellas Verona,2024-10-26
9,Bologna,Milan,2025-02-27
9,Fiorentina,Roma,2024-10-27
9,Inter,Juventus,2024-10-27
9,Lazio,Genoa,2024-10-27
9,Monza,Venezia,2024-10-27
9,Napoli,Lecce,2024-10-26
9,Parma,Empoli,2024-10-27
9,Torino,Como,2024-10-25
9,Udinese,Cagliari,2024-10-25
10,Atalanta,Monza,2024-10-30
10,Cagliari,Bologna,2024-10-29
10,Como,Lazio,2024-10-31
10,Empoli,Inter,2024-10-30
10,Genoa,Fiorentina,2024-10-31
10,Juventus,Parma,2024-10-30
10,Lecce,Hellas Verona,2024-10-29
10,Milan,Napoli,2024-10-29
10,Roma,Torino,2024-10-31
10,Venezia,Udinese,2024-10-30
11,Bologna,Lecce,2024-11-02
11,Empoli,Como,2024-11-04
11,Hellas Verona,Roma,2024-11-03
11,Inter,Venezia,2024-11-03
11,Lazio,Cagliari,2024-11-04
11,Monza,Milan,2024-11-02
11,Napoli,Atalanta,2024-11-03
11,Parma,Genoa,2024-11-04
11,Torino,Fiorentina,2024-11-03
11,Udinese,Juventus,2024-11-02
12,Atalanta,Udinese,2024-11-10
12,Cagliari,Milan,2024-11-09
12,Fiorentina,Hellas Verona,2024-11-10
12,Genoa,Como,2024-11-07
12,Inter,Napoli,2024-11-10
12,Juventus,Torino,2024-11-09
12,Lecce,Empoli,2024-11-08
12,Monza,Lazio,2024-11-10
12,Roma,Bologna,2024-11-10
12,Venezia,Parma,2024-11-09
13,Como,Fiorentina,2024-11-24
13,Empoli,Udinese,2024-11-25
13,Genoa,Cagliari,2024-11-24
13,Hellas Verona,Inter,2024-11-23
13,Lazio,Bologna,2024-11-24
13,Milan,Juventus,2024-11-23
13,Napoli,Roma,2024-11-24
13,Parma,Atalanta,2024-11-23
13,Torino,Monza,2024-11-24
13,Venezia,Lecce,2024-11-25
14,Bologna,Venezia,2024-11-30
14,Cagliari,Hellas Verona,2024-11-29
14,Como,Monza,2024-11-30
14,Fiorentina,Inter,2025-02-06
14,Lecce,Juventus,2024-12-01
14,Milan,Empoli,2024-11-30
14,Parma,Lazio,2024-12-01
14,Roma,Atalanta,2024-12-02
14,Torino,Napoli,2024-12-01
14,Udinese,Genoa,2024-12-01
15,Atalanta,Milan,2024-12-06
15,Fiorentina,Cagliari,2024-12-08
15,Genoa,Torino,2024-12-07
15,Hellas Verona,Empoli,2024-12-08
15,Inter,Parma,2024-12-06
15,Juventus,Bologna,2024-12-07
15,Monza,Udinese,2024-12-09
15,Napoli,Lazio,2024-12-08
15,Roma,Lecce,2024-12-07
15,Venezia,Como,2024-12-08
16,Bologna,Fiorentina,2024-12-15
16,Cagliari,Atalanta,2024-12-14
16,Como,Roma,2024-12-15
16,Empoli,Torino,2024-12-13
16,Juventus,Venezia,2024-12-14
16,Lazio,Inter,2024-12-16
16,Lecce,Monza,2024-12-15
16,Milan,Genoa,2024-12-15
16,Parma,Hellas Verona,2024-12-15
16,Udinese,Napoli,2024-12-14
17,Atalanta,Empoli,2024-12-22
17,Fiorentina,Udinese,2024-12-23
17,Genoa,Napoli,2024-12-21
17,Hellas Verona,Milan,2024-12-20
17,Inter,Como,2024-12-23
17,Lecce,Lazio,2024-12-21
17,Monza,Juventus,2024-12-22
17,Roma,Parma,2024-12-22
17,Torino,Bologna,2024-12-21
17,Venezia,Cagliari,2024-12-22
18,Bologna,Hellas Verona,2024-12-30
18,Cagliari,Inter,2024-12-28
18,Como,Lecce,2024-12-30
18,Empoli,Genoa,2024-12-28
18,Juventus,Fiorentina,2024-12-29
18,Lazio,Atalanta,2024-12-28
18,Milan,Roma,2024-12-29
18,Napoli,Venezia,2024-12-29
18,Parma,Monza,2024-12-28
18,Udinese,Torino,2024-12-29
19,Atalanta,Juventus,2025-01-14
19,Como,Milan,2025-01-14
19,Fiorentina,Napoli,2025-01-04
19,Hellas Verona,Udinese,2025-01-04
19,Inter,Bologna,2025-01-15
19,Lecce,Genoa,2025-01-05
19,Monza,Cagliari,2025-01-05
19,Roma,Lazio,2025-01-05
19,Torino,Parma,2025-01-05
19,Venezia,Empoli,2025-01-04
20,Bologna,Roma,2025-01-12
20,Empoli,Lecce,2025-01-11
20,Genoa,Parma,2025-01-12
20,Lazio,Como,2025-01-10
20,Milan,Cagliari,2025-01-11
20,Monza,Fiorentina,2025-01-13
20,Napoli,Hellas Verona,2025-01-12
20,Torino,Juventus,2025-01-11
20,Udinese,Atalanta,2025-01-11
20,Venezia,Inter,2025-01-12
21,Atalanta,Napoli,2025-01-18
21,Bologna,Monza,2025-01-18
21,Cagliari,Lecce,2025-01-19
21,Como,Udinese,2025-01-20
21,Fiorentina,Torino,2025-01-19
21,Hellas Verona,Lazio,2025-01-19
21,Inter,Empoli,2025-01-19
21,Juventus,Milan,2025-01-18
21,Parma,Venezia,2025-01-19
21,Roma,Genoa,2025-01-17
22,Como,Atalanta,2025-01-25
22,Empoli,Bologna,2025-01-25
22,Genoa,Monza,2025-01-27
22,Lazio,Fiorentina,2025-01-26
22,Lecce,Inter,2025-01-26
22,Milan,Parma,2025-01-26
22,Napoli,Juventus,2025-01-25
22,Torino,Cagliari,2025-01-24
22,Udinese,Roma,2025-01-26
22,Venezia,Hellas Verona,2025-01-27
23,Atalanta,Torino,2025-02-01
23,Bologna,Como,2025-02-01
23,Cagliari,Lazio,2025-02-03
23,Fiorentina,Genoa,2025-02-02
23,Juventus,Empoli,2025-02-02
23,Milan,Inter,2025-02-02
23,Monza,Hellas Verona,2025-02-01
23,Parma,Lecce,2025-01-31
23,Roma,Napoli,2025-02-02
23,Udinese,Venezia,2025-02-01
24,Cagliari,Parma,2025-02-09
24,Como,Juventus,2025-02-07
24,Empoli,Milan,2025-02-08
24,Hellas Verona,Atalanta,2025-02-08
24,Inter,Fiorentina,2025-02-10
24,Lazio,Monza,2025-02-09
24,Lecce,Bologna,2025-02-09
24,Napoli,Udinese,2025-02-09
24,Torino,Genoa,2025-02-08
24,Venezia,Roma,2025-02-09
25,Atalanta,Cagliari,2025-02-15
25,Bologna,Torino,2025-02-14
25,Fiorentina,Como,2025-02-16
25,Genoa,Venezia,2025-02-17
