matchday,team,oppteam,home,goals_for,goals_against
1,Atalanta,Pisa,1,1,1
1,Bologna,Roma,0,0,1
1,Cagliari,Fiorentina,1,1,1
1,Como,Lazio,1,2,0
1,Cremonese,Milan,0,2,1
1,Fiorentina,Cagliari,0,1,1
1,Genoa,Lecce,1,0,0
1,Hellas Verona,Udinese,0,1,1
1,Inter,Torino,1,5,0
1,Juventus,Parma,1,2,0
1,Lazio,Como,0,0,2
1,Lecce,Genoa,0,0,0
1,Milan,Cremonese,1,1,2
1,Napoli,Sassuolo,0,2,0
1,Parma,Juventus,0,0,2
1,Pisa,Atalanta,0,1,1
1,Roma,Bologna,1,1,0
1,Sassuolo,Napoli,1,0,2
1,Torino,Inter,0,0,5
1,Udinese,Hellas Verona,1,1,1
2,Atalanta,Parma,0,1,1
2,Bologna,Como,1,1,0
2,Cagliari,Napoli,0,0,1
2,Como,Bologna,0,0,1
2,Cremonese,Sassuolo,1,3,2
2,Fiorentina,Torino,0,0,0
2,Genoa,Juventus,1,0,1
2,Hellas Verona,Lazio,0,0,4
2,Inter,Udinese,1,1,2
2,Juventus,Genoa,0,1,0
2,Lazio,Hellas Verona,1,4,0
2,Lecce,Milan,1,0,2
2,Milan,Lecce,0,2,0
2,Napoli,Cagliari,1,1,0
2,Parma,Atalanta,1,1,1
2,Pisa,Roma,1,0,1
2,Roma,Pisa,0,1,0
2,Sassuolo,Cremonese,0,2,3
2,Torino,Fiorentina,1,0,0
2,Udinese,Inter,0,2,1
3,Atalanta,Lecce,1,4,1
3,Bologna,Milan,0,0,1
3,Cagliari,Parma,1,2,0
3,Como,Genoa,1,1,1
3,Cremonese,Hellas Verona,0,0,0
3,Fiorentina,Napoli,1,1,3
3,Genoa,Como,0,1,1
3,Hellas Verona,Cremonese,1,0,0
3,Inter,Juventus,0,3,4
3,Juventus,Inter,1,4,3
3,Lazio,Sassuolo,0,0,1
3,Lecce,Atalanta,0,1,4
3,Milan,Bologna,1,1,0
3,Napoli,Fiorentina,0,3,1
3,Parma,Cagliari,0,0,2
3,Pisa,Udinese,1,0,1
3,Roma,Torino,1,0,1
3,Sassuolo,Lazio,1,1,0
3,Torino,Roma,0,1,0
3,Udinese,Pisa,0,1,0
4,Atalanta,Torino,0,3,0
4,Bologna,Genoa,1,2,1
4,Cagliari,Lecce,0,2,1
4,Como,Fiorentina,0,2,1
4,Cremonese,Parma,1,0,0
4,Fiorentina,Como,1,1,2
4,Genoa,Bologna,0,1,2
4,Hellas Verona,Juventus,1,1,1
4,Inter,Sassuolo,1,2,1
4,Juventus,Hellas Verona,0,1,1
4,Lazio,Roma,1,0,1
4,Lecce,Cagliari,1,1,2
4,Milan,Udinese,0,3,0
4,Napoli,Pisa,1,3,2
4,Parma,Cremonese,0,0,0
4,Pisa,Napoli,0,2,3
4,Roma,Lazio,0,1,0
4,Sassuolo,Inter,0,1,2
4,Torino,Atalanta,1,0,3
4,Udinese,Milan,1,0,3
5,Atalanta,Juventus,0,1,1
5,Bologna,Lecce,0,2,2
5,Cagliari,Inter,1,0,2
5,Como,Cremonese,1,1,1
