matchday,team,player,role,vote,fantavote,vote_raw,fantavote_raw
1,Atalanta,Carnesecchi,p,6.5,5.5,"6,5","5,5"
1,Atalanta,Djimsiti,d,5.0,5.0,5,5
1,Atalanta,Bellanova,d,5.5,5.5,"5,5","5,5"
1,Atalanta,Scalvini,d,5.5,5.5,"5,5","5,5"
1,Atalanta,Kossounou,d,55.0,55.0,55,55
1,Atalanta,Hien,d,5.0,3.0,5,3
1,Atalanta,De Roon,c,5.5,5.5,"5,5","5,5"
1,Atalanta,Pasalic,c,6.0,7.0,6,7
1,Atalanta,Maldini,c,5.5,5.0,"5,5",5
1,Atalanta,Samardzic,c,55.0,55.0,55,55
1,Atalanta,Zalewski,c,6.5,6.5,"6,5","6,5"
1,Atalanta,Ederson D.S.,c,5.5,5.5,"5,5","5,5"
1,Atalanta,Scamacca,a,7.0,10.0,7,10
1,Atalanta,Sulemana K.,a,6.0,5.5,6,"5,5"
1,Atalanta,De Ketelaere,a,5.5,5.5,"5,5","5,5"
1,Atalanta,Krstovic,a,5.5,5.5,"5,5","5,5"
1,Atalanta,Juric,all,5.5,5.0,"5,5",5
1,Bologna,Skorupski,p,6.0,5.0,6,5
1,Bologna,De Silvestri,d,6.0,6.0,6,6
1,Bologna,Lykogiannis,d,5.0,5.0,5,5
1,Bologna,Zortea,d,5.5,5.5,"5,5","5,5"
1,Bologna,Casale,d,5.5,5.5,"5,5","5,5"
1,Bologna,Lucumì,d,5.0,5.0,5,5
1,Bologna,Vitik,d,6.0,6.0,6,6
1,Bologna,Bernardeschi,c,55.0,55.0,55,55
1,Bologna,Freuler,c,6.0,5.5,6,"5,5"
1,Bologna,Orsolini,c,6.0,6.0,6,6
1,Bologna,Odgaard,c,5.0,5.0,5,5
1,Bologna,Pobega,c,5.0,5.0,5,5
1,Bologna,Fabbian,c,6.0,6.0,6,6
1,Bologna,Immobile,a,6.0,6.0,6,6
1,Bologna,Cambiaghi,a,5.0,5.0,5,5
1,Bologna,Castro S.,a,6.5,6.5,"6,5","6,5"
1,Bologna,Italiano,all,5.5,5.5,"5,5","5,5"
1,Cagliari,Caprile,p,6.0,5.0,6,5
1,Cagliari,Luperto,d,7.0,10.0,7,10
1,Cagliari,Mina,d,5.5,5.5,"5,5","5,5"
1,Cagliari,Zappa,d,6.0,6.0,6,6
1,Cagliari,Obert,d,6.0,5.5,6,"5,5"
1,Cagliari,Idrissi R.,d,6.0,6.0,6,6
1,Cagliari,Deiola,c,6.0,6.0,6,6
1,Cagliari,Mazzitelli,c,6.0,5.5,6,"5,5"
1,Cagliari,Gaetano,c,6.5,7.5,"6,5","7,5"
1,Cagliari,Adopo,c,6.0,6.0,6,6
1,Cagliari,Folorunsho,c,6.0,6.0,6,6
1,Cagliari,Prati,c,6.0,6.0,6,6
1,Cagliari,Esposito Se.,a,6.0,6.0,6,6
1,Cagliari,Luvumbo,a,6.0,6.0,6,6
1,Cagliari,Borrelli,a,5.5,5.0,"5,5",5
